RTO,MARKET TYPE,DATA ITEM,LMP_PRC,LOCATION,START TIME,END TIME,RU_CLR_PRC,ACTION,BCAPACITY,ECAPACITY,BBUDGET,EBUDGET
CAISO,DAM,LMP_PRC,37.85308,TH_NP15_GEN-APND,2018-07-23T16:00:00-00:00,2018-07-23T17:00:00-00:00,6.99,NO ACTION,20.0,20.0,200.0,200.0
CAISO,DAM,LMP_PRC,232.31787000000003,TH_NP15_GEN-APND,2018-07-24T03:00:00-00:00,2018-07-24T04:00:00-00:00,107.08596999999999,NO ACTION,20.0,20.0,200.0,200.0
CAISO,DAM,LMP_PRC,438.87307000000004,TH_NP15_GEN-APND,2018-07-24T02:00:00-00:00,2018-07-24T03:00:00-00:00,309.32021000000003,NO ACTION,20.0,20.0,200.0,200.0
CAISO,DAM,LMP_PRC,35.709070000000004,TH_NP15_GEN-APND,2018-07-23T08:00:00-00:00,2018-07-23T09:00:00-00:00,7.04,NO ACTION,20.0,20.0,200.0,200.0
CAISO,DAM,LMP_PRC,49.37843,TH_NP15_GEN-APND,2018-07-23T19:00:00-00:00,2018-07-23T20:00:00-00:00,10.7,NO ACTION,20.0,20.0,200.0,200.0
CAISO,DAM,LMP_PRC,36.016529999999996,TH_NP15_GEN-APND,2018-07-23T12:00:00-00:00,2018-07-23T13:00:00-00:00,7.04,NO ACTION,20.0,20.0,200.0,200.0
CAISO,DAM,LMP_PRC,35.09044,TH_NP15_GEN-APND,2018-07-23T15:00:00-00:00,2018-07-23T16:00:00-00:00,5.0,NO ACTION,20.0,20.0,200.0,200.0
CAISO,DAM,LMP_PRC,52.60519,TH_NP15_GEN-APND,2018-07-24T06:00:00-00:00,2018-07-24T07:00:00-00:00,15.37011,NO ACTION,20.0,20.0,200.0,200.0
CAISO,DAM,LMP_PRC,48.46634,TH_NP15_GEN-APND,2018-07-23T18:00:00-00:00,2018-07-23T19:00:00-00:00,9.727780000000001,NO ACTION,20.0,20.0,200.0,200.0
CAISO,DAM,LMP_PRC,93.99265,TH_NP15_GEN-APND,2018-07-24T04:00:00-00:00,2018-07-24T05:00:00-00:00,44.92,NO ACTION,20.0,20.0,200.0,200.0
CAISO,DAM,LMP_PRC,30.28016,TH_NP15_GEN-APND,2018-07-23T10:00:00-00:00,2018-07-23T11:00:00-00:00,6.877269999999999,NO ACTION,20.0,20.0,200.0,200.0
CAISO,DAM,LMP_PRC,252.02572,TH_NP15_GEN-APND,2018-07-24T00:00:00-00:00,2018-07-24T01:00:00-00:00,111.43831000000002,NO ACTION,20.0,20.0,200.0,200.0
CAISO,DAM,LMP_PRC,48.0264,TH_NP15_GEN-APND,2018-07-23T13:00:00-00:00,2018-07-23T14:00:00-00:00,13.7602,NO ACTION,20.0,20.0,200.0,200.0
CAISO,DAM,LMP_PRC,312.67854,TH_NP15_GEN-APND,2018-07-24T01:00:00-00:00,2018-07-24T02:00:00-00:00,175.95699,NO ACTION,20.0,20.0,200.0,200.0
CAISO,DAM,LMP_PRC,30.876409999999996,TH_NP15_GEN-APND,2018-07-23T09:00:00-00:00,2018-07-23T10:00:00-00:00,6.303380000000001,NO ACTION,20.0,20.0,200.0,200.0
CAISO,DAM,LMP_PRC,72.27085,TH_NP15_GEN-APND,2018-07-23T21:00:00-00:00,2018-07-23T22:00:00-00:00,27.8,NO ACTION,20.0,20.0,200.0,200.0
CAISO,DAM,LMP_PRC,89.60758,TH_NP15_GEN-APND,2018-07-23T22:00:00-00:00,2018-07-23T23:00:00-00:00,43.86205,NO ACTION,20.0,20.0,200.0,200.0
CAISO,DAM,LMP_PRC,42.9399,TH_NP15_GEN-APND,2018-07-23T17:00:00-00:00,2018-07-23T18:00:00-00:00,5.99,NO ACTION,20.0,20.0,200.0,200.0
CAISO,DAM,LMP_PRC,65.1378,TH_NP15_GEN-APND,2018-07-24T05:00:00-00:00,2018-07-24T06:00:00-00:00,24.86065,NO ACTION,20.0,20.0,200.0,200.0
CAISO,DAM,LMP_PRC,203.78314,TH_NP15_GEN-APND,2018-07-23T23:00:00-00:00,2018-07-24T00:00:00-00:00,88.27124,NO ACTION,20.0,20.0,200.0,200.0
CAISO,DAM,LMP_PRC,56.49004,TH_NP15_GEN-APND,2018-07-23T20:00:00-00:00,2018-07-23T21:00:00-00:00,17.77104,NO ACTION,20.0,20.0,200.0,200.0
CAISO,DAM,LMP_PRC,39.932759999999995,TH_NP15_GEN-APND,2018-07-23T07:00:00-00:00,2018-07-23T08:00:00-00:00,7.99,NO ACTION,20.0,20.0,200.0,200.0
CAISO,DAM,LMP_PRC,40.81958,TH_NP15_GEN-APND,2018-07-23T14:00:00-00:00,2018-07-23T15:00:00-00:00,7.2,NO ACTION,20.0,20.0,200.0,200.0
CAISO,DAM,LMP_PRC,30.51322,TH_NP15_GEN-APND,2018-07-23T11:00:00-00:00,2018-07-23T12:00:00-00:00,4.9648,NO ACTION,20.0,20.0,200.0,200.0
